Date	Sleep(Hours)	Calories_Consumed	Calories_Used	Caloric_Difference	Weight(lbs)	Type_of_Day
1/10/2025	5.33	1120	2635	1515	233.2	Busy
2/10/2025	8.33	548	3032	2484	232.8	Busy
3/10/2025	8.38	1450	2493	1043	231.8	Relaxed
4/10/2025	6.45	1250	2652	1402	231.4	Relaxed
5/10/2025	8.23	1040	2471	1431	230.8	Relaxed
6/10/2025	4.5	3550	2964	-586	230.4	Busy
7/10/2025	8.32	968	2706	1738	230.2	Busy
8/10/2025	7.13	1050	3157	2107	230.8	Busy
9/10/2025	3.93	1300	3253	1953	228.8	Busy
10/10/2025	6.48	1230	3356	2126	230.8	Relaxed
11/10/2025	9.32	1415	2932	1517	227	Relaxed
12/10/2025	6.5	1784	2436	652	229.2	Relaxed
13/10/2025	5.5	1550	2537	987	231.4	Busy
14/10/2025	10.22	1882	3650	1768	229	Busy
15/10/2025	6.45	780	2541	1761	228.2	Busy
16/10/2025	7.5	921	3693	2772	227.8	Busy
17/10/2025	7.95	772	2553	1781	228.4	Relaxed
18/10/2025	5.88	2699	2883	184	227.6	Relaxed
19/10/2025	7.77	1780	2575	795	226.2	Relaxed
20/10/2025	6.47	1560	4165	2605	225.6	Busy
21/10/2025	5.5	1870	2679	809	225.2	Busy
22/10/2025	7.33	1480	3052	1572	225.2	Busy
23/10/2025	7.75	2501	3096	595	224.8	Busy
24/10/2025	8.5	1445	2950	1505	224.8	Relaxed
25/10/2025	7.77	2345	4548	2203	225.2	Relaxed
26/10/2025	7.83	3623	3529	-94	225.1	Relaxed
27/10/2025	6.67	1975	2617	642	225.2	Relaxed
28/10/2025	8.27	2696	4278	1582	225	Relaxed
29/10/2025	8.33	2792	2763	-29	229.8	Relaxed
30/10/2025	9.57	2906	2200	-706	225.8	Relaxed
31/10/2025	7.33	1979	3026	1047	224.2	Relaxed
